                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7744,                 4.8115,                  3.179,                0.29403,                0.04466,                0.02744,                0.01384,                 2.0754,                  3.374,                 2.2927,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.9489,                 3.5295,                 2.1055,                 0.2288,                0.13004,                0.09061,                0.05178,                 1.7434,                 2.7595,                 1.8865,              0.0060063,              0.0060063,              0.0060063
